run_id,audit_id,table,edge_id,source_refs,claim,residual_text,edge_type,declared_assumptions,verifier_route,status,result,public_status,integrity,executable,artifact_relpath
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.A-antisym,"eq.D-74, expressions/A_pair.txt, expressions/A_pair_swapped.txt, expressions/R_A_antisym.txt",A21^a A12^b - A12^a A21^b equals -(A12^a A21^b - A12^b A21^a) for commuting scalars,"(A21a*A12b - A12a*A21b) - (-(A12a*A21b - A12b*A21a))
",ALGEBRAIC_EQUIVALENCE,"A21a, A12b, A12a, A21b",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_A_antisym.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.A-to-Omega,"eq.D-74, eq.D-75, expressions/A_pair_swapped.txt, expressions/i_Omega.txt, expressions/R_A_to_Omega.txt","after inserting Omega_ab^1 = I (A12^a A21^b - A12^b A21^a), the A bilinear equals I Omega","(-(A12a*A21b - A12b*A21a)) - (I*(I*(A12a*A21b - A12b*A21a)))
",ALGEBRAIC_EQUIVALENCE,"A12a, A21b, A12b, A21a, Oab1",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_A_to_Omega.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.C12-regroup,"eq.D-71, eq.D-72, expressions/C12_expanded.txt, expressions/C12_regrouped.txt, expressions/R_C12_regroup.txt",C1 and C2 factor by regrouping commuting velocity products,"((v21a*(v12b*v1c + v1b*v12c) - v12a*(v21b*v1c + v1b*v21c)) - (v1c*(v21a*v12b - v12a*v21b) + v1b*(v21a*v12c - v12a*v21c))) + ((-v21a*(v2b*v12c + v12b*v2c) + v12a*(v2b*v21c + v21b*v2c)) - (v2c*(v12a*v21b - v21a*v12b) + v2b*(v12a*v21c - v21a*v12c)))
",ALGEBRAIC_EQUIVALENCE,"v21a, v12b, v1c, v1b, v12c, v12a, v21b, v21c, v2b, v2c",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_C12_regroup.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.K1A-metric-subst,"eq.D-60, expressions/K1A_regrouped.txt, expressions/K1A_metric.txt, expressions/R_K1A_metric.txt","after substituting the declared metric-velocity pair for g_ab and g_ac, regrouped K_{1A} equals 2 e12^2 (v1^c g_ab + v1^b g_ac)","(v1c*(v21a*v12b + v12a*v21b) + v1b*(v21a*v12c + v12a*v21c)) - (v1c*(v12a*v21b + v12b*v21a) + v1b*(v12a*v21c + v12c*v21a))
",ALGEBRAIC_EQUIVALENCE,"v1c, v21a, v12b, v12a, v21b, v1b, v12c, v21c, e12, gab, gac",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_K1A_metric.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.K1A-regroup,"eq.D-59, eq.D-60, expressions/K1A_expanded.txt, expressions/K1A_regrouped.txt, expressions/R_K1A_regroup.txt",K_{1A} factors by regrouping commuting velocity products,"(v21a*(v12b*v1c + v1b*v12c) + v12a*(v21b*v1c + v1b*v21c)) - (v1c*(v21a*v12b + v12a*v21b) + v1b*(v21a*v12c + v12a*v21c))
",ALGEBRAIC_EQUIVALENCE,"v21a, v12b, v1c, v1b, v12c, v12a, v21b, v21c",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_K1A_regroup.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.Omega2-relabel,"eq.D-77, eq.D-78, expressions/sigma_m1_simplified.txt, expressions/sigma_m1_band_sum.txt, expressions/R_Omega2_relabel.txt","using Omega^2 = -Omega^1, the two-band sigma^{(-1)} compactifies to a sum over n=1,2","((1/4)*((v1c*Oab1 + v1b*Oac1)*f1p - (v2c*Oab1 + v2b*Oac1)*f2p)) - ((1/4)*((v1c*Oab1 + v1b*Oac1)*f1p + (v2c*(-Oab1) + v2b*(-Oac1))*f2p))
",INDEX_RELABELING,"v1c, Oab1, v1b, Oac1, f1p, v2c, v2b, f2p, Oab2, Oac2",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_Omega2_relabel.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.T0-local-sign,"eq.D-119, expressions/T0_chain.txt, expressions/T0_surface.txt, expressions/R_T0_local_sign.txt","after the chain rule, the last two written members of the T0 display are algebraically equal","(-(f1p*v1a - f2p*v2a)*(gbc/e12)) - (gbc*(v2a*f2p - v1a*f1p)/e12)
",ALGEBRAIC_EQUIVALENCE,"f1p, v1a, f2p, v2a, gbc, e12",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_T0_local_sign.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.T0T1-regroup,"eq.D-120, eq.D-121, expressions/T0T1_mixed.txt, expressions/T0T1_grouped.txt, expressions/R_T0T1_regroup.txt",T0+T1 regroups by f1' and f2',"((1/e12)*(gbc*(v2a*f2p - v1a*f1p) + (v1c*gab + v1b*gac - v1a*gbc)*f1p - (v2c*gab + v2b*gac - v2a*gbc)*f2p)) - ((1/e12)*(f1p*(v1c*gab + v1b*gac - 2*v1a*gbc) - f2p*(v2c*gab + v2b*gac - 2*v2a*gbc)))
",ALGEBRAIC_EQUIVALENCE,"e12, gbc, v2a, f2p, v1a, f1p, v1c, gab, v1b, gac, v2c, v2b",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_T0T1_regroup.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.TA-TBgeo-cancel,"eq.D-61, eq.D-68, expressions/TA_plus_TBgeo.txt, expressions/zero.txt, expressions/R_TA_TBgeo.txt","geometric pieces T_A^{(-2)} + T_{B,geo}^{(-2)} cancel","(e12/4)*((gab*v2c + gac*v2b)*f2p - (gab*v1c + gac*v1b)*f1p) + (e12/4)*((gac*v1b + gab*v1c)*f1p - (gac*v2b + gab*v2c)*f2p)
",ALGEBRAIC_EQUIVALENCE,"e12, gab, v2c, gac, v2b, f2p, v1c, v1b, f1p",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_TA_TBgeo.txt
20260831T230107Z-d4683eb4,arxiv-2511-16422-v2-field-validation,TABLE_VERIFIED,D.TA-prefactor,"eq.D-60, eq.D-61, expressions/TA_unreduced.txt, expressions/TA_reduced.txt, expressions/R_TA_prefactor.txt",the T_A^{(-2)} prefactor 2 e12^2 / (8 e12) equals e12/4 and the two written T_A forms agree,"((2*e12**2)/(8*e12)*(-(v1c*gab + v1b*gac)*f1p + (v2c*gab + v2b*gac)*f2p)) - ((e12/4)*((gab*v2c + gac*v2b)*f2p - (gab*v1c + gac*v1b)*f1p))
",ALGEBRAIC_EQUIVALENCE,"e12, v1c, gab, v1b, gac, f1p, v2c, v2b, f2p",python_sympy_exact_v1,ZERO,ZERO,ZERO,PASS,true,expressions/R_TA_prefactor.txt
