item_id,stage,condition,seed,category,layer,layer_detail,n_compile_ok,n_compile_fail,n_zero,n_nonzero,n_unknown,old_certified
CAL-A-cse,calibration,A0,0,T0,OK,certified,2,0,2,0,0,True
CAL-A-cse,calibration,A1,0,T0,D,wrong_type,2,0,2,0,0,True
CAL-A-cse,calibration,A2,0,T0,OK,certified,2,0,2,0,0,True
CAL-A-cse,calibration,A3,0,T0,OK,certified,3,0,3,0,0,True
CAL-B-lgg,calibration,A0,0,T1,C,compile_failure,0,2,0,0,2,False
CAL-B-lgg,calibration,A1,0,T1,OK,certified,2,0,2,0,0,True
CAL-B-lgg,calibration,A2,0,T1,OK,certified,2,0,2,0,0,True
CAL-B-lgg,calibration,A3,0,T1,V,nonzero,6,0,0,6,0,False
CAL-C-deriv,calibration,A0,0,T3,OK,certified,4,0,4,0,0,True
CAL-C-deriv,calibration,A1,0,T3,OK,certified,4,0,4,0,0,True
CAL-C-deriv,calibration,A2,0,T3,OK,certified,4,0,4,0,0,True
CAL-C-deriv,calibration,A3,0,T3,OK,certified,4,0,4,0,0,True
CAL-D-perm,calibration,A0,0,T7,V,partial_zero_rest_unknown,2,2,2,0,2,True
CAL-D-perm,calibration,A1,0,T7,V,partial_zero_rest_unknown,2,2,2,0,2,True
CAL-D-perm,calibration,A2,0,T7,OK,certified,2,0,2,0,0,True
CAL-D-perm,calibration,A3,0,T7,D,wrong_type,2,0,2,0,0,True
CAL-E-neg,calibration,A0,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
CAL-E-neg,calibration,A1,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
CAL-E-neg,calibration,A2,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
CAL-E-neg,calibration,A3,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
CAL-F-shallow,calibration,A0,0,F1,OK,abstain_or_no_false_type,0,0,0,0,0,False
CAL-F-shallow,calibration,A1,0,F1,D,false_or_forbidden_type,5,0,4,0,1,True
CAL-F-shallow,calibration,A2,0,F1,OK,abstain_or_no_false_type,0,0,0,0,0,False
CAL-F-shallow,calibration,A3,0,F1,OK,abstain_or_no_false_type,0,0,0,0,0,False
CAL-G-confluence,calibration,A0,0,T5,D,wrong_type,2,0,2,0,0,True
CAL-G-confluence,calibration,A1,0,T5,OK,certified,2,0,2,0,0,True
CAL-G-confluence,calibration,A2,0,T5,OK,certified,2,0,2,0,0,True
CAL-G-confluence,calibration,A3,0,T5,OK,certified,3,0,3,0,0,True
CAL-H-reprechg,calibration,A0,0,T6,D,wrong_type,2,0,2,0,0,True
CAL-H-reprechg,calibration,A1,0,T6,D,wrong_type,2,0,2,0,0,True
CAL-H-reprechg,calibration,A2,0,T6,D,wrong_type,2,0,2,0,0,True
CAL-H-reprechg,calibration,A3,0,T6,D,wrong_type,0,2,0,0,2,False
A-neg-unrelated,dev,A0,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A0,1,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A0,2,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A0,3,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A0,4,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A1,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A1,1,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A1,2,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A2,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A2,1,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A2,2,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A2,3,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A2,4,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A3,0,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A3,1,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-neg-unrelated,dev,A3,2,T1-neg,D,false_or_forbidden_type,2,0,2,0,0,True
A-pos-born,dev,A0,0,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A0,1,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A0,2,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A0,3,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A0,4,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A1,0,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A1,1,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A1,2,T1,OK,certified,2,0,2,0,0,True
A-pos-born,dev,A2,0,T1,D,wrong_type,4,0,4,0,0,True
A-pos-born,dev,A2,1,T1,D,wrong_type,2,0,2,0,0,True
A-pos-born,dev,A2,2,T1,OK,certified,4,0,4,0,0,True
A-pos-born,dev,A2,3,T1,D,wrong_type,2,0,2,0,0,True
A-pos-born,dev,A2,4,T1,D,wrong_type,2,0,2,0,0,True
A-pos-born,dev,A3,0,T1,OK,certified,6,0,6,0,0,True
A-pos-born,dev,A3,1,T1,OK,certified,6,0,6,0,0,True
A-pos-born,dev,A3,2,T1,OK,certified,6,0,6,0,0,True
B-pos-poly-deriv,dev,A0,0,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A0,1,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A0,2,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A0,3,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A0,4,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A1,0,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A1,1,T4,OK,certified,2,0,2,0,0,True
B-pos-poly-deriv,dev,A1,2,T4,V,nonzero,4,0,2,2,0,True
B-pos-poly-deriv,dev,A2,0,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A2,1,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A2,2,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A2,3,T4,V,nonzero,4,0,3,1,0,True
B-pos-poly-deriv,dev,A2,4,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A3,0,T4,OK,certified,4,0,4,0,0,True
B-pos-poly-deriv,dev,A3,1,T4,D,wrong_type,2,0,2,0,0,True
B-pos-poly-deriv,dev,A3,2,T4,D,wrong_type,2,0,2,0,0,True
T0-cse,dev,A0,0,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A0,1,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A0,2,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A0,3,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A0,4,T0,D,wrong_type,2,0,2,0,0,True
T0-cse,dev,A1,0,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A1,1,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A1,2,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A2,0,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A2,1,T0,OK,certified,2,0,2,0,0,True
T0-cse,dev,A2,2,T0,D,wrong_type,5,0,2,0,3,True
T0-cse,dev,A2,3,T0,D,wrong_type,2,0,2,0,0,True
T0-cse,dev,A2,4,T0,D,wrong_type,2,0,2,0,0,True
T0-cse,dev,A3,0,T0,D,wrong_type,2,0,2,0,0,True
T0-cse,dev,A3,1,T0,D,wrong_type,5,0,5,0,0,True
T0-cse,dev,A3,2,T0,V,nonzero,3,0,0,3,0,False
